ISSN,ISSN_L,TITLE,TITLE_SOURCE,year_flipped,title,issn_type,period,year_active_since_str,year_active_since
0020-0883,0020-0883,Informes de la Construccion,DOAJ,1971,Informes de la Construccion,issn_print,1.1948 -     ; auch mit durchgehender Nr.-Zählung,1948 -,1948
1988-3234,0020-0883,Informes de la Construccion,DOAJ,1971,Informes de la Construccion,issn_e,Nachgewiesen 23.1971=Nr. 227 -,NA,NA
1891-1757,0020-577X,Internasjonal Politikk,DOAJ,2016,Internasjonal Politikk,issn_e,"58. Årgang, Nr. 1 (2000)[?]-",NA,NA
0021-2571,0021-2571,Annali dell'Istituto Superiore di Sanità,DOAJ,2001,Annali dell'Istituto Superiore di Sanità,issn_print,1.1965 -,1965 -,1965
0021-2571,0021-2571,Annali dell'Istituto Superiore di Sanità,DOAJ,2001,Annali dell'Istituto Superiore di Sanità,issn_print,1.1938 -,1938 -,1938
1678-4782,0021-7557,Jornal de Pediatria,DOAJ,2013,Jornal de Pediatria,issn_e,1.1934 -,1934 -,1934
1678-4782,0021-7557,Jornal de Pediatria,DOAJ,2013,Jornal de Pediatria,issn_e,Nachgewiesen 77.2001 -,2001 -,2001
0021-7557,0021-7557,Jornal de Pediatria,DOAJ,2013,Jornal de Pediatria,issn_print,1.1934 -,1934 -,1934
0021-7557,0021-7557,Jornal de Pediatria,DOAJ,2013,Jornal de Pediatria,issn_print,Nachgewiesen 77.2001 -,2001 -,2001
0022-1430,0022-1430,Journal of Glaciology,DOAJ,2016,Journal of Glaciology,issn_print,1.1947/51 -,NA,NA
0022-1430,0022-1430,Journal of Glaciology,DOAJ,2016,Journal of Glaciology,issn_print,1.1947/51 -  ; auch mit durchgehender Nr.-Zählung,NA,NA
1727-5652,0022-1430,Journal of Glaciology,DOAJ,2016,Journal of Glaciology,issn_e,1.1947/51 -,NA,NA
0022-3859,0022-3859,Journal of Postgraduate Medicine,DOAJ,1990,Journal of Postgraduate Medicine,issn_print,1.1955 -,1955 -,1955
0022-3859,0022-3859,Journal of Postgraduate Medicine,DOAJ,1990,Journal of Postgraduate Medicine,issn_print,Nachgewiesen 26.1980 -,1980 -,1980
0022-9830,0022-9830,Kemija u Industriji,DOAJ,2004,Kemija u Industriji,issn_print,Nachgewiesen 50.2001 -,2001 -,2001
0022-9830,0022-9830,Kemija u Industriji,DOAJ,2004,Kemija u Industriji,issn_print,1.1952 -,1952 -,1952
1334-9090,0022-9830,Kemija u Industriji,DOAJ,2004,Kemija u Industriji,issn_e,Nachgewiesen 50.2001 -,2001 -,2001
0023-7213,0023-7213,Icelandic Medical Journal,DOAJ,2000,Icelandic Medical Journal,issn_print,1.1915 -,1915 -,1915
0023-7213,0023-7213,Icelandic Medical Journal,DOAJ,2000,Icelandic Medical Journal,issn_print,Nachgewiesen 86.2000 -,2000 -,2000
0023-7213,0023-7213,Icelandic Medical Journal,DOAJ,2000,Icelandic Medical Journal,issn_print,Nachgewiesen 2.1978 -,1978 -,1978
0023-8082,0023-8082,Landtechnik,DOAJ,2015,Landtechnik,issn_e,1.1946 - 69.2014,1946 -,1946
0023-8082,0023-8082,Landtechnik,DOAJ,2015,Landtechnik,issn_e,"Bd. 49, Nr. 1 (1994) [?]-",NA,NA
1542-4278,0023-8791,Latin American Research Review,DOAJ,2017,Latin American Research Review,issn_e,"1.1965/66-volume 51, number 4 (2016)",NA,NA
1542-4278,0023-8791,Latin American Research Review,DOAJ,2017,Latin American Research Review,issn_e,1.1965 -,1965 -,1965
0025-7680,0025-7680,Medicina (Buenos Aires),DOAJ,2003,Medicina (Buenos Aires),issn_print,"1.1940,Okt. -",NA,NA
0025-7680,0025-7680,Medicina (Buenos Aires),DOAJ,2003,Medicina (Buenos Aires),issn_print,Nachgewiesen 63.2003 -,2003 -,2003
1669-9106,0025-7680,Medicina (Buenos Aires),DOAJ,2003,Medicina (Buenos Aires),issn_e,"1.1940,Okt. -",NA,NA
1669-9106,0025-7680,Medicina (Buenos Aires),DOAJ,2003,Medicina (Buenos Aires),issn_e,Nachgewiesen 63.2003 -,2003 -,2003
0025-7974,0025-7974,Medicine,DOAJ,2014,Medicine,issn_print,1.1922 - 92.2013,1922 -,1922
0025-7974,0025-7974,Medicine,DOAJ,2014,Medicine,issn_print,1.1922 -,1922 -,1922
1536-5964,0025-7974,Medicine,DOAJ,2014,Medicine,issn_e,1.1922 - 92.2013,1922 -,1922
1536-5964,0025-7974,Medicine,DOAJ,2014,Medicine,issn_e,1.1922 -,1922 -,1922
0026-1165,0026-1165,Journal of the Meteorological Society of Japan,DOAJ,2018,Journal of the Meteorological Society of Japan,issn_print,2.Ser. 43.1965 - 66.1988; 67.1989 -,1989 -,1989
0026-1165,0026-1165,Journal of the Meteorological Society of Japan,DOAJ,2018,Journal of the Meteorological Society of Japan,issn_print,Nachgewiesen 79.2001 -,2001 -,2001
0026-704X,0026-704X,Mljekarstvo,DOAJ,2001,Mljekarstvo,issn_print,1.1951 -,1951 -,1951
0026-704X,0026-704X,Mljekarstvo,DOAJ,2001,Mljekarstvo,issn_print,1.1951 -,1951 -,1951
0028-2715,0028-2715,Journal of Nepal Medical Association,DOAJ,2005,Journal of Nepal Medical Association,issn_print,Nachgewiesen 3.1965 - ; auch mit durchgehender Nr.-Zählung,1965 -,1965
0028-2715,0028-2715,Journal of Nepal Medical Association,DOAJ,2005,Journal of Nepal Medical Association,issn_print,Nachgewiesen 38.1999=Nr. 131,NA,NA
1815-672X,0028-2715,Journal of Nepal Medical Association,DOAJ,2005,Journal of Nepal Medical Association,issn_e,Nachgewiesen 3.1965 - ; auch mit durchgehender Nr.-Zählung,1965 -,1965
1815-672X,0028-2715,Journal of Nepal Medical Association,DOAJ,2005,Journal of Nepal Medical Association,issn_e,Nachgewiesen 38.1999=Nr. 131,NA,NA
0029-5922,0029-5922,Nukleonika,DOAJ,2014,Nukleonika,issn_print,"Nachgewiesen 37.1992,3 -",NA,NA
0029-5922,0029-5922,Nukleonika,DOAJ,2014,Nukleonika,issn_print,1.1956 -,1956 -,1956
2219-0635,0030-2465,Onderstepoort Journal of Veterinary Research,DOAJ,2003,Onderstepoort Journal of Veterinary Research,issn_e,25.1951/52 - 76.2009,NA,NA
2219-0635,0030-2465,Onderstepoort Journal of Veterinary Research,DOAJ,2003,Onderstepoort Journal of Veterinary Research,issn_e,Nachgewiesen 54.1987 -,1987 -,1987
0030-2465,0030-2465,Onderstepoort Journal of Veterinary Research,DOAJ,2003,Onderstepoort Journal of Veterinary Research,issn_print,25.1951/52 - 76.2009,NA,NA
